document_id,source_path,filename,extension,size_bytes,modified_iso,sha256,duplicate_group,count,unit,category,likely_client,service_area,sensitivity_risk,sensitivity_reason,embedded_title_or_error,sample_text
DOC-001,C:\Users\User\Desktop\180 deliverables\1600453661152_SCEF Strategic Plan 2020_2025_Final (1).pdf,1600453661152_SCEF Strategic Plan 2020_2025_Final (1).pdf,.pdf,917604,2026-07-04T13:48:32+02:00,4859a1fbb34bfe301f7692bbdce91d22c3cbf3a663668894de022118ebed51f9,,26,page,reference/source,SCEF,sustainability / circular economy; fundraising / partnerships; operations / procurement,medium,third-party copyrighted source,"Safeguard, Advocate, Partner and Empower (SAPE Agenda 2030)","© SCEF 2019 STREET CHILDREN EMPOWERMENT FOUNDATION (SCEF) | 62/3 WARD D, CREWE AVENUE – AMAMOMO CLOSE, PALLADIUM – JAMES TOWN Safeguard, Advocate, Partner and Empower (SAPE Agenda 2030) ADVOCATING FOR CHILDREN’S RIGHTS AND SAFEGUARDING CHILDREN IN STREET SITUATIONS THROUGH PARTNERSHIPS TO EMPOWER FAMILIES AND COMMUNITIES. STRATEGIC PLAN 2020 - 2025 1 | P a g e Table of Contents 1. Organizational History / Who We Are ............................................................................................................. 3 The Strategic Planning Process & Key Findings .................................................................................................. 7 4.1 Vision: ....................................................................................................................................................................... 9 4.2 Mission .................................................................................................................................................................... 9 4.3 Values:...................................................................................................................................................................... 9 Foundational Priorities .................................................................................................................................................... 10 5.1 Child Rights Programming ......................................................................................................................... 10 5.2 Human Rights-Based Approach ............................................................................................................. 10 5.3 Sustainable Development and Cooperation ................................................................................... 10 6 Who We Work With .................................................................................................................................................. 10 7 Whe"
DOC-002,C:\Users\User\Desktop\180 deliverables\180 DC - iGiver Pitch Deliverable 2.pptx,180 DC - iGiver Pitch Deliverable 2.pptx,.pptx,9280788,2026-07-04T13:54:22+02:00,397d89a8169b5d2d33323af8beb3c0ecf20024a8586f2032e0f315d5d1535070,,23,slide,consulting deliverable,iGiver,brand / marketing; fundraising / partnerships; operations / procurement,medium,client analysis and recommendations,,"180 DC Team December , 2023 X DELIVERABLE- 2 OVERVIEW FOR THE MEETING Agenda of the presentation. Meet the team and overview INTRODUCTION 01 Data collection overview DATA COLLECTION 02 Detailed processes SOPs 04 Acquisition channels recommendations ACQUISITION CHANNELS 03 Takeaways for deliverable 2 SUMMARY 0 5 MEET OUR TEAM Consulting Director SRITEJA DEVARAKONDA Consultant BEN WIESCHHOFF Consultant FILIP MITSKE Consultant MARIE BODSON Team Lead KARINA KHRISTICH Consultant NICHOLAS CHOE Consultant PRAAGYA GOYAL Consultant ROKO LAZIC DATA COLLECTION Data Collection - Companies Highlight benefits of data sharing such as better accessibility for donors additional NGO publicity with better accessibility and publicity -> more donations to the cause ARTICULATE THE BENEFIT OF DATA COLLECTION In exchange for data offer: recognition/certificates of appreciation acknowledgment of the company on iGiver’s website and social media platforms acknowledgment in promotional materials (e.g. fliers, posters at physical events…) DATA SHARING INCENTIVES"
DOC-003,C:\Users\User\Desktop\180 deliverables\180 DC - iGiver Presentation.pptx,180 DC - iGiver Presentation.pptx,.pptx,28852222,2026-07-04T13:54:20+02:00,01e82fcaa2f402ca697349b9ce019bbcc594a867665520bdbad990d0afaf8c99,,30,slide,consulting deliverable,iGiver,market research / growth; brand / marketing; fundraising / partnerships,medium,client analysis and recommendations,,"180 DC Team November, 2023 X DELIVERABLE-1 OVERVIEW FOR THE MEETING Agenda of the presentation. Meet the team and overview INTRODUCTION 01 SWOT analysis and iGiver overview IGIVER ANALYSIS 02 User flow, and business-wide recommendations RECOMMENDATIONS 04 Overview of Indian and global competitors and market research. COMPETITOR ANALYSIS 03 MEET OUR TEAM Consulting Director SRITEJA DEVARAKONDA Consultant BEN WIESCHHOFF Consultant FILIP MITSKE Consultant MARIE BODSON Team Lead KARINA KHRISTICH Consultant NICHOLAS CHOE Consultant PRAAGYA GOYAL Consultant ROKO LAZIC ABOUT iGIVER SWOT Analysis Positive Negative Internal Factors External Factors Passionate team In-kind donations focus, rather than cash donations Training for students e.g. web designing Technical expertise Social media and user base growth Market size of crowdfunding growth 2019 global crowdfunding market valued at 13.9 Billion US$ →forecasted to increase threefold by 2026 External funding and grants F raudulent NGOs C ybersecurity threats Strong competitors in market Monopolistic competition Strengths Opportunities Threats Weaknesses N o external funding Web Page structure Small amount of users & social media following Source: ISB"
DOC-004,C:\Users\User\Desktop\180 deliverables\180 Report GoodHout.pdf,180 Report GoodHout.pdf,.pdf,1547521,2026-07-04T13:48:26+02:00,cec4b01c87b4cc01a7ecd8e254eff14276b51dd140a0d3da9db4925ab9bb70d6,,57,page,consulting deliverable,GoodHout,sustainability / circular economy; market research / growth; brand / marketing,medium,client analysis and recommendations,,1 8 0 D E G R E E S C O N S U L T I N G FINAL RECOMMENDATIONS FOR GOODHOUT’S SOCIAL MEDIA AND WEB PRESENCE [180 DEGREES CONSULTING DELFT/ ROTTERDAM] [GOODHOUT] 17/02/2021 1 8 0 D e g r e e s C o n s u l t i ng 2 CONSULTANT PROFILES 1 8 0 D e g r e e s C o n s u l t i ng 3 CONTENTS CONSULTANT PROFILES ............................................................................... 2 EXECUTIVE SUMMARY .................................................................................. 5 SOCIAL MEDIA .............................................................................................. 6 Recommendation 1.1.: Social Media Content Creation ................................ ..........6 Methods and background ................................ ................................ ......................... 6 Social media presence in the industry ................................ ................................ ....... 8 Implementation plan ................................ ................................ ............................... 10 Setting up the profiles (getting started)................................ ................................ .... 11 Partnerships ................................ ................................ ................................ ............ 12 Basic management practices ................................ ................................ ................... 13 Contact management ................................ ................................ .............................. 14 Content creation ................................ ................................ ................................ ..... 16 Content management ................................ ................................ ............................. 18 Selling and branding sustainability ................................ ................................ ........... 19 Growth through engagement ................................ ................................ .................. 20 Giv
DOC-005,C:\Users\User\Desktop\180 deliverables\180 Tomatoworld Last Deliverable.pdf,180 Tomatoworld Last Deliverable.pdf,.pdf,2353797,2026-07-04T13:59:50+02:00,826a7abec4394abf14a98ce207dd4f6ebcdc49006205a814a2a528098282a77f,,28,page,consulting deliverable,Tomatoworld,sustainability / circular economy; brand / marketing; fundraising / partnerships,high,commercial/financial data; client analysis and recommendations,PowerPoint Presentation,"DELFT - ROTTERDAM Tomatoworld x 180DC Exploring Revenue Sources 2180 DEGREES CONSULTING Meet Our Great Team This is the team on the Tomatoworld project, focusing on the transition to Flora Campus Team Leader Fredrik Nygaard Løvåsen Consultant Stijn Satter Consultant Matteo Piana Consultant Riccardo Iannis Consultant Theodor Zeinler Consultant Anna Oseledka 180 DEGREES CONSULTING 3 Topics This section will summarize the findings of how Tomatoworld can monetize their raw data Raw Data01 Existing Market1.1 Research Institutions1.2 Agri-Tech Companies1.3 Greenhouse Equipment1.4 This section explains our plan for how Tomatoworld can increase revenue through education and training Education and Training02 Training and Certification Programs2.1 International Collaboration2.2 Hosting Events2.3 Video Game and Marketing2.4 This section will explore how Tomatoworld can capitalize on increasing health trends Compounds03 Health Trends3.1 Demand for Compounds3.2 Feasibility Ranking3.3 Lycopene and Beta-Carotene3.4 Supply Chain Players1.5 Policy Makers1.6 Solvent Extraction3.5 Partnerships3.6 Tomatoworld produces innovative greenhouse data which could be attractive for industry players and increase revenue MONETIZING RAW DATA 180 DEGREES CONSULTING 5 Existing Greenhouse-Data Usage Which educational institutions or programs implement real-time greenhouse data The University of Arizona offers a 14-week course on greenhouse environmental control, focusing on data- driven crop management and modern monitoring tools. University of Arizona & ADVANCEA 01 New York Sun Works runs a school-based program that teaches about sustainable agriculture. It combines STEM education with practical greenhouse data. New York Sun Works 02 NASA’s GLOBE Program lets students collect real-time data like temperature inside greenhouse environments to enhance their understanding of the environment . GLOBE 03 Real-time data is becoming more and more important in greenhouse management as the sector pushes for m"
DOC-006,C:\Users\User\Desktop\180 deliverables\180 X Liveshow Deliverable 1 Report.docx.pdf,180 X Liveshow Deliverable 1 Report.docx.pdf,.pdf,503221,2026-07-04T13:58:04+02:00,61cd4d387df706cb434f437cef09b7dd8724ae700e439cbb89f9a22e2f9d8a53,,20,page,consulting deliverable,Liveshow,sustainability / circular economy; market research / growth; brand / marketing,medium,client analysis and recommendations,180 X Liveshow Deliverable 1 Report.docx,"180DEGREESCONSULTING Reporttemplateversion1.1 1 CONTENTS EXECUTIVESUMMARY 3ANALYSIS 3PESTLEAnalysis 3CustomerAnalysis 6Competitor Analysis 10RECOMMENDATIONS 14ImplementingaTagline 14BrandingtheTLSLogo 15ReviewsandFeedback 16Social Media 17Optimizingfor Mobile 18DISCLAIMER 19180DEGREESCONSULTING 20 180Degrees Consulting 2 EXECUTIVESUMMARY ThisreportservestoestablishacomprehensiveunderstandingoftheLiveshowandtheenvironment surroundingit.Theteamconductedthoroughanalysesofthecompany’scompetitors,market conditionsandotherimportantfactorsthatmayleadtofutureopportunities.Onthebasisofthese analyseswededucedseveralkeyactionpointsthatwillhopefullyoptimizetheareasoffocus.These recommendationsincludetheintroductionofatagline,enhancedlogovisibility,implementationof reviews,increasedsocialmediabrandingandwebsiteoptimizationformobiledevices. ANALYSIS PESTLEANALYSIS Political Indiahasprogressivelyminimizedpoliticalinterferenceinbusiness,leadingtoincreasedeﬃciency andoutput.Thistransitiontoprivatizationhasinvolvedderegulation,de-reservation,and disinvestment,enhancingtheperformanceofstate-ownedenterprises,thoughchallengeshaveled tofurtherprivatizationinitiatives.India’staxationsystemfeaturesathree-tierfederalstructure, involvingtheUnionGovernment,StateGovernments,andLocalBodies,eachwithitsowntax levyingcapabilities.Despiteitsbreadth,thesystem’ssophisticationisstillevolving,withadiverse arrayoftaxesimposedatdiﬀerentgovernmentlevels,impactinggoods,services,andmore. TerrorismhassigniﬁcantlyimpactedIndianpoliticssinceitsinception,bothfromexternalsources andinternalgroups.Furthermore,corruptionisamajorconcernacrossIndia,negativelyaﬀecting boththebusinessclimateandpoliticallandscape,therebyhinderingeconomicprogress.Eﬀortsto combatcorruptionincludeincreasingpublicawarenessandgovernmentalmeasures 1 . 1 https://www.studocu.com/my/document/universiti-malaysia-sabah/international-business/pestle-analysis-of-indian-and-its-business/17363878 180Degrees Consulting 3 “Limitedsponsorshipopportuniti"
DOC-007,C:\Users\User\Desktop\180 deliverables\180_DC_OAF_Final_Report_Detail.pdf,180_DC_OAF_Final_Report_Detail.pdf,.pdf,2391947,2026-07-04T13:52:50+02:00,4787d7d9834ad510d417d4a81d94ed5c06b2af3797eb5ad0a4c0feae2f7ab243,,79,page,consulting deliverable,OAF,brand / marketing; business plan / financial; organization / governance,high,commercial/financial data; client analysis and recommendations,whiteExploring B2B business opportunities,"180 Degrees Consulting Delft-Rotterdam Exploring B2B business opportunities One Acre Fund, Rwanda 180 Degrees Consulting Delft-Rotterdam Exploring B2B businessopportunities One Acre Fund, Rwanda by 180 Degrees Consulting Delft-Rotterdam Name Role Semir Arabo Consultant Marco Bartzsch Consultant Alessandra Fiorentino Consultant Luija Galic Consultant Marek Homola Consultant Tim Fischmann T eam Lead Nicolas Will Consulting Director One Acre Fund contact: Maria Vasquez Project Duration: March, 2023 - July, 2023 Branch: 180 Degrees Consulting Delft-Rotterdam Summary In Rwanda, One Acre Fund (OAF) is a very successful NGO that supports farmers by supplying agri- cultural products, quality of life products and training. Currently, the organization almost exclusively relies on direct sales to farmers (B2C). Because of strategic ambitions to reach more farmers, but also to create a new, profitable channel, OAF hired 180DC to explore the potential of business to business (B2B) sales further. The project was divided into three deliverables: Deliverable 1 was used to give the consultants an overview of OAF . For an internal analysis, sev- eral interviews were conducted and many internal documents were shared with the consulting team. Furthermore, important stakeholders were identified and evaluated. An external analysis used the PES- TLE analysis framework to categorize many factors outside OAF that the organization has to consider. Lastly, the team got an overview of B2B in Rwanda and analyzed the most important sectors on a high level. Deliverable 2 was centered around a Product x Criteria Matrix which serves as a foundation for the decision which products to sell via B2B channels. 10 current and >15 non-current promising products were analyzed with >20 criteria from 5 categories: Internal, External, Impact, Financial and Risk. The criteria, their relative weighting, and individual product scores were fine-tuned multiple times, resulting in the recommendation to offer seeds,"
DOC-008,C:\Users\User\Desktop\180 deliverables\180_WayForward.pdf,180_WayForward.pdf,.pdf,606196,2026-07-04T13:48:38+02:00,ecf8e6b3627786a8f103f983422476078c6e6d327dc8dc3efbb0b5c476a96b36,,6,page,consulting deliverable,SCEF,fundraising / partnerships; digital / product; strategy,medium,client analysis and recommendations,,"Continue Empowering and Sending a Smileto Jamestown, Ghana and the World Team meeting XY November 2020Vivienne Dubourg, PienRoelofs, Eva Brcic, Emir Sarlak, Nikolaus Stern, Dan Sharrel 180 DEGREES CONSULTING 2 Agenda Way forward2 Team barometer1 180 DEGREES CONSULTING 3 Agenda Way forward2 Team barometer1 180 DEGREES CONSULTING 4 Recap: Are we on the same page about this? WE WILL DEVELOP THESE BASED ON ACADEMIC LITERATURE AND BEST PRACTICE EXAMPLES Overarching partnership strategyWhat?Why? Example Frameworks Create a common understanding of SCEF’s general approach to partnershipsCreate common tools for the implementation FundingKnow-howNetwork ProjectbasedNon-projectbasedMain partner Multiplier Partner selection checklistPartnership engagement checklistPartnership implementation checklist 180 DEGREES CONSULTING 5 General way forward Development of partnership strategy Development of implementation frameworks Development of implementation frameworksTeam Strategy (2 consultants) Team Frameworks (3 consultants) 2nd peer feedback"
DOC-009,C:\Users\User\Desktop\180 deliverables\180DC Deliverable 1.pptx,180DC Deliverable 1.pptx,.pptx,20942678,2026-07-04T14:01:28+02:00,c26a81fb938c4a6bd53f2db33451d55fbfdb9f99f3635d0a291faaa8ca398ce6,,17,slide,consulting deliverable,unresolved,sustainability / circular economy,high,commercial/financial data; client analysis and recommendations,,"Soil & More International x 180DC Market Assessment PRESENTATION AGENDA Market Landscape Price Benchmarking Competitive Landscape & Market Dynamics Potential Buyers and Segments of Buyers OUR TEAM Team Lead Rafael Pinto Consultant Tan Dabbagh Consultant Paul Avato Consultant Sebastian Falcone Consultant Petyo Rakov Consultant Aaron Soukas Market Landscape The market grew more selective in 2024, with trades down 25%, value down 29%, but prices holding at only a 5.5% drop $752 million total transaction value. Around 242 million tCO₂e traded across major standards. Average carbon credit price was $6.74 per tonne . $535 million (–29%). Lowest value since 2018, though still 1.9× higher than 2018. Fell to ~182 million tCO₂e (–25%) , the lowest level since 2018. Slight decrease to $6.37 per tonne (–5.5%) . Prices remained resilient despite lower trading volumes. 2023 2024 Market Value Market Value Average Price Transaction Volume Average Price Transaction Volume"
DOC-010,C:\Users\User\Desktop\180 deliverables\180DC Deliverable 2 Final.pptx,180DC Deliverable 2 Final.pptx,.pptx,7147706,2026-07-04T13:49:08+02:00,a0344bdb6598daa7beed7de141116a384bb5ee0e3ca09021949f7edca4450259,,34,slide,consulting deliverable,Pyropower,sustainability / circular economy; business plan / financial,high,commercial/financial data; client analysis and recommendations,PowerPoint Presentation,September 2016 December 2020 Pyropower Work Package 1 PRESENTATION AGENDA Recap Deliverable 4: Funding 3 4 15 25 Deliverable 2: Input Spent Coffee Ground Meet the Team Deliverable 1: Output Spent Coffee Ground 10 Deliverable 3: Biochar 21 Next Steps 32 MEET OUR TEAM CONSULTANT - DELFT CHITRANSH LOT CONSULTANT - RSM RENE HSU CONSULTANT - RSM MAX RAUSCH CONSULTANT - DELFT ELSIE LOUKIANTCHENKO TEAM LEADER - RSM MATTIAS EVANS Meet the Team The 180DC team consists of… RECAP INTRODUCTION Pyropower is an energy renewal startup: Organic waste Circular economy. C entralized pyrolysis reactor: Input = waste moist spent coffee ground Pyrolysis creates: Biochar CoffeeCarbon ™ Bio-oils Syngas Output = Dry Spent Coffee Ground Recap “Pyropower is looking to SCALE UP their business practices and wants to build up a CONSTANT REVENUE STREAM for a sustainable business model in order to continue towards their mission of circular economy.” Recap
